subtaskID,datapointID,answer
1,img_0684,2
2,img_0684,"[0,0,0,0]"
1,img_0691,2
2,img_0691,"[0,0,0,0]"
1,img_0693,2
2,img_0693,"[0,0,0,0]"
1,img_0695,2
2,img_0695,"[0,0,0,0]"
1,img_0707,2
2,img_0707,"[0,0,0,0]"
1,img_0713,2
2,img_0713,"[0,0,0,0]"
1,img_0715,2
2,img_0715,"[0,0,0,0]"
1,img_0720,2
2,img_0720,"[0,0,0,0]"
1,img_0725,2
2,img_0725,"[0,0,0,0]"
1,img_0726,2
2,img_0726,"[0,0,0,0]"
1,img_0728,2
2,img_0728,"[0,0,0,0]"
1,img_0734,2
2,img_0734,"[0,0,0,0]"
1,img_0735,2
2,img_0735,"[0,0,0,0]"
1,img_0743,2
2,img_0743,"[0,0,0,0]"
1,img_0746,2
2,img_0746,"[0,0,0,0]"
1,img_0749,2
2,img_0749,"[0,0,0,0]"
1,img_0752,2
2,img_0752,"[0,0,0,0]"
1,img_0754,2
2,img_0754,"[0,0,0,0]"
1,img_0755,2
2,img_0755,"[0,0,0,0]"
1,img_0758,2
2,img_0758,"[0,0,0,0]"
1,img_0764,2
2,img_0764,"[0,0,0,0]"
1,img_0767,2
2,img_0767,"[0,0,0,0]"
1,img_0770,2
2,img_0770,"[0,0,0,0]"
1,img_0779,2
2,img_0779,"[0,0,0,0]"
1,img_0781,2
2,img_0781,"[0,0,0,0]"
1,img_0792,2
2,img_0792,"[0,0,0,0]"
1,img_0793,2
2,img_0793,"[0,0,0,0]"
1,img_0794,2
2,img_0794,"[0,0,0,0]"
1,img_0807,2
2,img_0807,"[0,0,0,0]"
1,img_0808,2
2,img_0808,"[0,0,0,0]"
1,img_0809,2
2,img_0809,"[0,0,0,0]"
1,img_0814,2
2,img_0814,"[0,0,0,0]"
1,img_0817,2
2,img_0817,"[0,0,0,0]"
1,img_0819,2
2,img_0819,"[0,0,0,0]"
1,img_0820,2
2,img_0820,"[0,0,0,0]"
1,img_0823,2
2,img_0823,"[0,0,0,0]"
1,img_0824,2
2,img_0824,"[0,0,0,0]"
1,img_0839,2
2,img_0839,"[0,0,0,0]"
1,img_0840,2
2,img_0840,"[0,0,0,0]"
1,img_0841,2
2,img_0841,"[0,0,0,0]"
1,img_0844,2
2,img_0844,"[0,0,0,0]"
1,img_0851,2
2,img_0851,"[0,0,0,0]"
1,img_0852,2
2,img_0852,"[0,0,0,0]"
1,img_0868,2
2,img_0868,"[0,0,0,0]"
1,img_0872,2
2,img_0872,"[0,0,0,0]"
1,img_0884,2
2,img_0884,"[0,0,0,0]"
1,img_0888,2
2,img_0888,"[0,0,0,0]"
1,img_0891,2
2,img_0891,"[0,0,0,0]"
1,img_0904,2
2,img_0904,"[0,0,0,0]"
1,img_0909,2
2,img_0909,"[0,0,0,0]"
1,img_0910,2
2,img_0910,"[0,0,0,0]"
1,img_0916,2
2,img_0916,"[0,0,0,0]"
1,img_0917,2
2,img_0917,"[0,0,0,0]"
1,img_0921,2
2,img_0921,"[0,0,0,0]"
1,img_0923,2
2,img_0923,"[0,0,0,0]"
1,img_0933,2
2,img_0933,"[0,0,0,0]"
1,img_0934,2
2,img_0934,"[0,0,0,0]"
1,img_0937,2
2,img_0937,"[0,0,0,0]"
1,img_0943,2
2,img_0943,"[0,0,0,0]"
1,img_0944,2
2,img_0944,"[0,0,0,0]"
1,img_0946,2
2,img_0946,"[0,0,0,0]"
1,img_0947,2
2,img_0947,"[0,0,0,0]"
1,img_0952,2
2,img_0952,"[0,0,0,0]"
1,img_0961,2
2,img_0961,"[0,0,0,0]"
1,img_0962,2
2,img_0962,"[0,0,0,0]"
1,img_0970,2
2,img_0970,"[0,0,0,0]"
1,img_0977,2
2,img_0977,"[0,0,0,0]"
1,img_0986,2
2,img_0986,"[0,0,0,0]"
1,img_0990,2
2,img_0990,"[0,0,0,0]"
